"","Month","PM10...µg.m.","COMUNE","Year"
"516","settembre",26.0333333333333,"Castenedolo","2020"
"517","agosto",5.38709677419355,"Casto","2020"
"518","aprile",18.7666666666667,"Casto","2020"
"519","dicembre",14,"Casto","2020"
"520","febbraio",30.9655172413793,"Casto","2020"
"521","gennaio",34.3225806451613,"Casto","2020"
"522","giugno",9.36666666666667,"Casto","2020"
"523","luglio",7.5,"Casto","2020"
"524","maggio",12.7741935483871,"Casto","2020"
"525","marzo",23.3225806451613,"Casto","2020"
"526","novembre",24.6,"Casto","2020"
"527","ottobre",8,"Casto","2020"
"528","settembre",8,"Casto","2020"
"529","agosto",19,"Castrezzato","2020"
"530","aprile",20.2,"Castrezzato","2020"
"531","dicembre",35.5,"Castrezzato","2020"
"532","febbraio",26.3103448275862,"Castrezzato","2020"
"533","gennaio",35.5483870967742,"Castrezzato","2020"
"534","giugno",11.8666666666667,"Castrezzato","2020"
"535","luglio",16.8,"Castrezzato","2020"
"536","maggio",13.5161290322581,"Castrezzato","2020"
"537","marzo",25.3225806451613,"Castrezzato","2020"
